Location(x=108.151733, y=120.767410, z=0.158620)
Location(x=-14.235059, y=120.833206, z=0.166678)
Location(x=-20.219395, y=57.617615, z=0.158620)
Location(x=91.028610, y=-21.346161, z=0.158620)
Location(x=-86.293594, y=7.196438, z=0.158620)
Location(x=-123.238686, y=41.438160, z=0.158620)
Location(x=81.532219, y=58.884033, z=0.158620)
Location(x=92.049431, y=-6.569530, z=0.158620)
Location(x=114.073196, y=107.620880, z=0.158620)
Location(x=-17.979254, y=3.653216, z=0.158620)
Location(x=71.463547, y=120.801025, z=0.158620)
Location(x=0.467839, y=-73.206490, z=0.158620)
Location(x=-57.511585, y=-47.181267, z=0.158620)
Location(x=63.010426, y=-75.630753, z=0.158620)
Location(x=-71.190903, y=-75.646240, z=0.158620)
Location(x=-31.732018, y=-74.260490, z=0.158620)
Location(x=26.908604, y=121.406197, z=0.158620)
Location(x=20.307995, y=-50.753052, z=0.158620)
Location(x=-10.607455, y=3.269297, z=0.158620)
Location(x=29.889078, y=-75.902023, z=0.158620)
Location(x=-63.439693, y=-52.914436, z=0.158620)
Location(x=69.166458, y=122.992943, z=0.158620)
Location(x=-80.731491, y=-49.797737, z=0.158620)
Location(x=89.356148, y=143.472794, z=0.158620)
Location(x=57.658539, y=-73.152847, z=0.158620)
Location(x=-58.311852, y=-8.427840, z=0.158620)
Location(x=67.527466, y=57.266129, z=0.158620)
Location(x=3.094923, y=6.527291, z=0.158620)
Location(x=-117.982269, y=93.164238, z=0.158620)
Location(x=-5.617292, y=-75.108032, z=0.158620)
Location(x=56.861004, y=37.926605, z=0.158620)
Location(x=85.896515, y=145.424942, z=0.158620)
Location(x=-60.497982, y=74.965187, z=0.168620)
Location(x=-45.919075, y=-76.097862, z=0.158620)
Location(x=53.848133, y=53.077660, z=0.158620)
Location(x=-33.380096, y=107.980499, z=0.158620)
Location(x=64.494072, y=6.769789, z=0.158620)
Location(x=116.389435, y=105.948349, z=0.158620)
Location(x=32.059433, y=3.328228, z=0.158620)
Location(x=-93.190811, y=20.350281, z=0.148620)
Location(x=68.783340, y=37.335461, z=0.158620)
Location(x=-57.720379, y=-24.287766, z=0.158620)
Location(x=117.979141, y=13.516041, z=0.158620)
Location(x=0.074022, y=146.457092, z=0.158620)
Location(x=116.696930, y=93.273285, z=0.158620)
Location(x=83.625038, y=114.883545, z=0.158620)
Location(x=-33.723465, y=-31.258911, z=0.158620)
Location(x=-27.941471, y=-78.487312, z=0.158620)
Location(x=23.071564, y=-77.753944, z=0.158620)
Location(x=-15.582335, y=-76.880020, z=0.158620)
Location(x=-84.704330, y=115.417641, z=0.158620)
Location(x=-98.094925, y=135.103775, z=0.158620)
Location(x=-57.486923, y=70.471222, z=0.158620)
Location(x=48.724403, y=4.479380, z=0.158620)
Location(x=59.538013, y=58.802654, z=0.158620)
